"DATA INICIAL","DATA FINAL","PRODUTO","NÚMERO DE POSTOS PESQUISADOS","UNIDADE DE MEDIDA","PREÇO MÉDIO REVENDA","DESVIO PADRÃO REVENDA","PREÇO MÍNIMO REVENDA","PREÇO MÁXIMO REVENDA","MARGEM MÉDIA REVENDA","COEF DE VARIAÇÃO REVENDA","PREÇO MÉDIO DISTRIBUIÇÃO","DESVIO PADRÃO DISTRIBUIÇÃO","PREÇO MÍNIMO DISTRIBUIÇÃO","PREÇO MÁXIMO DISTRIBUIÇÃO","COEF DE VARIAÇÃO DISTRIBUIÇÃO",""
"2/3/2013","2/9/2013","OLEO DIESEL S10","1577","R$/l","2.326","0.118","2.059","3.050","0.294","0.051","2.032","0.088","1.796","2.554","0.043",""
"2/10/2013","2/16/2013","ETANOL HIDRATADO","8135","R$/l","1.990","0.242","1.589","3.000","0.269","0.122","1.721","0.217","1.300","2.601","0.126",""
"2/10/2013","2/16/2013","GASOLINA COMUM","8670","R$/l","2.890","0.146","2.439","3.899","0.426","0.051","2.464","0.106","2.125","2.965","0.043",""
"2/10/2013","2/16/2013","GLP","8036","R$/13Kg","40.431","4.016","27.000","62.000","10.556","0.099","29.875","4.554","14.663","45.000","0.152",""
"2/10/2013","2/16/2013","GNV","514","R$/m3","1.766","0.165","1.399","2.599","0.417","0.093","1.349","0.144","0.837","1.822","0.107",""
"2/10/2013","2/16/2013","OLEO DIESEL","6672","R$/l","2.251","0.114","1.949","2.950","0.260","0.051","1.991","0.085","1.749","2.455","0.043",""
"2/10/2013","2/16/2013","OLEO DIESEL S10","1611","R$/l","2.330","0.114","2.059","3.050","0.260","0.049","2.070","0.088","1.849","2.416","0.043",""
"2/17/2013","2/23/2013","ETANOL HIDRATADO","8138","R$/l","2.001","0.239","1.599","3.000","0.267","0.119","1.734","0.215","1.300","2.515","0.124",""
"2/17/2013","2/23/2013","GASOLINA COMUM","8665","R$/l","2.889","0.146","2.429","3.899","0.420","0.051","2.469","0.102","2.125","2.899","0.041",""
"2/17/2013","2/23/2013","GLP","8048","R$/13Kg","40.420","3.952","27.000","62.000","10.545","0.098","29.875","4.456","14.663","45.000","0.149",""
"2/17/2013","2/23/2013","GNV","516","R$/m3","1.771","0.169","1.399","2.599","0.444","0.095","1.327","0.155","0.838","1.822","0.117",""
"2/17/2013","2/23/2013","OLEO DIESEL","6639","R$/l","2.251","0.114","1.959","2.950","0.255","0.051","1.996","0.083","1.514","2.455","0.042",""
"2/17/2013","2/23/2013","OLEO DIESEL S10","1729","R$/l","2.336","0.114","2.099","3.050","0.260","0.049","2.076","0.080","1.889","2.404","0.039",""
"2/24/2013","3/2/2013","ETANOL HIDRATADO","8144","R$/l","2.032","0.229","1.580","3.150","0.257","0.113","1.775","0.205","1.345","2.596","0.115",""
"2/24/2013","3/2/2013","GASOLINA COMUM","8661","R$/l","2.889","0.145","2.439","3.899","0.409","0.050","2.480","0.102","2.125","2.890","0.041",""
"2/24/2013","3/2/2013","GLP","8044","R$/13Kg","40.465","3.991","26.000","62.000","10.584","0.099","29.881","4.524","14.663","45.000","0.151",""
"2/24/2013","3/2/2013","GNV","494","R$/m3","1.767","0.167","1.399","2.599","0.390","0.095","1.377","0.146","1.060","1.895","0.106",""
"2/24/2013","3/2/2013","OLEO DIESEL","6646","R$/l","2.255","0.113","1.959","2.980","0.252","0.050","2.003","0.083","1.680","2.457","0.041",""
"2/24/2013","3/2/2013","OLEO DIESEL S10","1754","R$/l","2.328","0.117","2.099","3.050","0.250","0.050","2.078","0.083","1.889","2.536","0.040",""
"3/3/2013","3/9/2013","ETANOL HIDRATADO","8153","R$/l","2.049","0.225","1.580","3.150","0.254","0.110","1.795","0.200","1.370","2.422","0.111",""
"3/3/2013","3/9/2013","GASOLINA COMUM","8665","R$/l","2.889","0.145","2.449","3.899","0.408","0.050","2.481","0.101","2.125","2.885","0.041",""
"3/3/2013","3/9/2013","GLP","8032","R$/13Kg","40.483","4.028","26.000","62.000","10.524","0.099","29.959","4.488","14.663","45.000","0.150",""
"3/3/2013","3/9/2013","GNV","522","R$/m3","1.777","0.162","1.399","2.369","0.437","0.091","1.340","0.156","1.053","1.895","0.116",""
"3/3/2013","3/9/2013","OLEO DIESEL","6620","R$/l","2.258","0.114","1.959","2.990","0.255","0.050","2.003","0.082","1.680","2.457","0.041",""
"3/3/2013","3/9/2013","OLEO DIESEL S10","1786","R$/l","2.341","0.118","2.039","3.050","0.262","0.050","2.079","0.087","1.889","2.536","0.042",""
"3/10/2013","3/16/2013","ETANOL HIDRATADO","8154","R$/l","2.062","0.227","1.599","3.150","0.251","0.110","1.811","0.207","1.298","2.659","0.114",""
"3/10/2013","3/16/2013","GASOLINA COMUM","8665","R$/l","2.890","0.147","2.469","3.899","0.404","0.051","2.486","0.104","2.207","2.887","0.042",""
"3/10/2013","3/16/2013","GLP","8041","R$/13Kg","40.533","4.060","26.000","62.000","10.598","0.100","29.935","4.697","16.800","45.000","0.157",""
"3/10/2013","3/16/2013","GNV","508","R$/m3","1.772","0.161","1.399","2.599","0.411","0.091","1.361","0.155","1.053","2.222","0.114",""
"3/10/2013","3/16/2013","OLEO DIESEL","6638","R$/l","2.306","0.116","1.949","2.990","0.267","0.050","2.039","0.087","1.703","2.430","0.043",""
"3/10/2013","3/16/2013","OLEO DIESEL S10","1799","R$/l","2.390","0.124","2.059","3.050","0.269","0.052","2.121","0.089","1.913","2.569","0.042",""
"3/17/2013","3/23/2013","ETANOL HIDRATADO","8150","R$/l","2.064","0.230","1.599","3.150","0.252","0.111","1.812","0.209","1.298","2.518","0.115",""
"3/17/2013","3/23/2013","GASOLINA COMUM","8667","R$/l","2.886","0.148","2.440","3.939","0.401","0.051","2.485","0.104","2.217","2.944","0.042",""
"3/17/2013","3/23/2013","GLP","8041","R$/13Kg","40.533","3.985","26.000","62.000","10.521","0.098","30.012","4.692","16.140","45.000","0.156",""
"3/17/2013","3/23/2013","GNV","513","R$/m3","1.772","0.167","1.399","2.599","0.417","0.094","1.355","0.133","1.053","1.822","0.098",""
"3/17/2013","3/23/2013","OLEO DIESEL","6572","R$/l","2.319","0.118","1.949","2.990","0.268","0.051","2.051","0.084","1.775","2.430","0.041",""
"3/17/2013","3/23/2013","OLEO DIESEL S10","1879","R$/l","2.409","0.125","2.029","3.050","0.266","0.052","2.143","0.086","1.889","2.569","0.040",""
"3/24/2013","3/30/2013","ETANOL HIDRATADO","8134","R$/l","2.058","0.236","1.599","3.150","0.254","0.115","1.804","0.221","1.300","2.513","0.123",""
